Latitude,Longitude,Magnitude,Event_Date
32.92510986,-100.8780726,1.182899125,2017-04-17
32.52044678,-97.1330745,1.136402797,2017-04-17
32.9196167,-100.8673542,1.374208253,2017-04-17
31.39550834,-103.5170315,1.14891518,2017-04-18
31.12551291,-103.3207439,1.515919656,2017-04-18
31.04285881,-103.3637294,1.32709011,2017-04-18
31.42354138,-103.5111131,1.457718732,2017-04-18
31.40745624,-103.5127318,1.875800552,2017-04-18
32.92144775,-100.8780726,1.374874772,2017-04-18
32.91870117,-100.8684261,1.232615624,2017-04-18
31.42124362,-103.5116512,0.847299399,2017-04-19
31.09400634,-103.4946986,2.656238143,2017-04-19
31.22669847,-103.3654909,1.726043107,2017-04-20
31.27647144,-103.6098196,1.394192884,2017-04-20
32.89855957,-100.8791444,0.897580745,2017-04-21
31.00159262,-103.4439866,1.201849757,2017-04-21
31.11903501,-103.2982843,1.700044388,2017-04-21
31.43595767,-103.58252,1.816351562,2017-04-21
31.06307754,-103.3615483,1.230418582,2017-04-21
31.29163511,-103.6167972,1.618323909,2017-04-22
32.97821045,-100.8652106,1.561469586,2017-04-23
32.97912598,-100.8662824,2.016464842,2017-04-23
32.9397583,-100.9230897,0.85165673,2017-04-23
32.97821045,-100.9037967,0.097666944,2017-04-23
31.05980418,-103.3278622,1.50939095,2017-04-23
31.3835403,-103.4783987,1.375572465,2017-04-23
31.39917872,-103.5009279,1.024012239,2017-04-23
31.52136699,-103.4191611,1.734725586,2017-04-23
31.109181,-103.5134161,1.359144454,2017-04-25
32.87567139,-100.9466702,1.300041836,2017-04-26
32.8427124,-100.9552449,0.212435712,2017-04-26
31.37252761,-103.5138226,1.367276503,2017-04-26
31.08756681,-103.4850737,1.528510427,2017-04-26
32.96539307,-100.9037967,0.324164638,2017-04-27
32.84729004,-100.9691787,0.583352601,2017-04-27
31.10963556,-103.5011089,1.087211163,2017-04-27
31.38632186,-103.5385021,1.77995029,2017-04-27
32.89215088,-100.9509575,1.448725633,2017-04-28
32.91778564,-100.9230897,0.568176915,2017-04-29
32.85552979,-100.9466702,1.510799854,2017-04-29
32.47650146,-97.15879859,0.597302973,2017-05-01
32.83630371,-100.9305926,1.613801671,2017-05-01
